Name,Address,City,StateProvince,Country,Latitude,Longitude,Photo,Description,Website Link,InterestTags,Budget,TimeOpen,TimeClosed,Time to Visit,DaysOpen,DaysClosed,HourstoComplete,MustSee,Group
Name of Attraction,Address of Attraction,City of Attraction,State or Province of Attraction,Country of Attraction,Coordinates,Coordinates,Photo of attraction,Description of Activity to be shown if selected,Link to website if customer wants more information,Which interest tags apply,"Free - no cost
$ - Under $10pp
$$ - $11-25pp
$$$ - $26-50pp
$$$$ - $51+pp",Time Attraction opens each day,Time Attraction closes each day,"Morning, Afternoon, Evening, Night or All",Which days of the week Attraction is open,Which days of the week Attraction is closed,How long the recommended time is to do the activity,Recommended regardless of tags shown,"Priority of what to see (1 highest priority, 5 lowest)"
Robot Restaurant,"1 Chome−7−7, Kabukicho, Shinjuku City",Tokyo,Kantō,Japan,35.694322,139.702843,TOK_RR_02.jpg,"The high tech machine extravaganza with flashy neon lights..is there any other place as unrealistic as this place? Robot Restaurant is a crazy and entertaining spots to see the robot show while dining. The 10 billion yen worth restaurant is located in Shinjuku area, the biggest red light district in Tokyo often called “the districts never sleeps”. Out of hundreds of night-out spots in the area, the Robot Restaurant absolutely stands out as it’s totally unique and could only happen in Tokyo.Visit the Robot Restaurant website for advanced tickets and more information.",https://shinjuku-robot.com/sp/,"1120,1500",$$$$,See website,See website,Night,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,3,No,1
Ikefukurou Cafe (Owl Cafe),"1 Chome−17−1, Minamiikebukuro, Toshima City",Tokyo,Kantō,Japan,35.726934,139.711581,TOK_ICO_01.jpg,"Owl cafe is the first animal cafe become sensationally popular in Tokyo featuring several types of owls. It’s rare to see owls in real life, but at owl cafes in Tokyo, visitors can actually touch them, take picture together and share a precious moment together with the adorable owls in the heart of Tokyo.",https://www.tokyocreative.com/articles/18752-ikefukurou-in-ikebukuro,"1020,1910",$$,13:00,19:00,Afternoon,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,1,No,4
Hedgehog Cafe,"1 Chome−13−21, Jingumae, Shibuya City",Tokyo,Kantō,Japan,35.669593,139.70349,TOK_HHC_01.jpg,"The cozy cafe features one of the cutest creatures on the planet, little hedgehogs, and visitors can watch them in life, touch them and play together.Visit the Hedgehog Cafe website for more information.",https://hedgehoghome.cafe/en/,"1020,1910",$$,11:00,19:00,Afternoon,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,1,No,3
Digital Art Museum,"6 Chome-10-1 Roppongi, Minato City",Tokyo,Kantō,Japan,35.6264,139.7831,TOK_DAM_01.jpg,"MORI Building DIGITAL ART MUSEUM — teamLab Borderless opened in Odaiba area, Tokyo in summer 2018 as the very first digital art museum in the world. Since then, it has been one of the hottest spots in town. The museum offers a unique interactive art experience with the latest high technology. Multiple digital art exhibitions are displayed in a huge space and the artworks are projected across walls and floors, and immersive installations of light and sound move and reflect by movements and touches.The “Forest of resonating lamps” is perhaps the poster-child for the entire borderless experience, and is essentially the hardest to get in to. Expect to queue to get in, unless going really early.Visit the Digital Art Museum website for current exhibition details and more information.",www.borderless.teamlab.art,"1100,1900,1910",$$$,10:00,19:00,All,"Sun, Mon, Tues, Wed, Fri, Sat",Thurs,2.5,No,1
Kawaii Monster Cafe,"4 Chome−31−10, Jingumae, Shibuya City,",Tokyo,Kantō,Japan,35.669158,139.706108,TOK_KMC_01.jpg,"One of the most popular places to dine in Tokyo, Kawaii Monster Cafe is a super colourful and Kawaii cafe/restaurant located in the center of the pop culture, Harajuku area, Tokyo. Kawaii Monster Cafe, which is designed by the famous art designer, Sebastian Masuda, has the vivid and edgy interior and serves various unique and colourful dishes including rainbow spaghetti and unicorn coloured par fait. Kawaii Monster Cafe is an extremely cute, entertaining and 1000% photo-worthy place to dine in Tokyo!Visit the Kawaii Monster Cafe website to reserve a seat before visiting.",http://kawaiimonster.jp/,"1100,1910",$$,11:30,20:00,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,1,No,5
Sensō-ji Temple,"2 Chome-3-1 Asakusa, Taito City",Tokyo,Kantō,Japan,35.7148,139.7967,TOK_ST_01.jpg,"Sensoji, built in the year 645 is Tokyo’s oldest temple. It was built for the goddess Kannon, the goddess of mercy, and it’s one of Tokyo’s largest, most popular and most vibrant temples. Take photos of an iconic Kaminarimon gate, stroll down “Nakamise Street”, the approach to the main hall of the temple with traditional street snacks. It’s a great area to experience Japanese traditions while being in this modern Metropolis.",https://en.wikipedia.org/wiki/Sens%C5%8D-ji,"1600,1700,1900",Free,06:00,17:00,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,2,No,1
Ueno Park,"5-20 Uenokoen, Taito City",Tokyo,Kantō,Japan,35.7155,139.7741,TOK_UP_01.jpg,"A short distance from Asakusa area, Ueno Park is the center of Tokyo’s old downtown area and where one of the biggest parks in Tokyo is located. Ueno Park consists of numbers of attractive facilities including museums, a zoo, historical monuments and rich nature. Ueno Park is especially trending this year because last summer, the Giant Panda baby, Xiang Xiang was born at Ueno Zoo and she made her public debut in December.",https://www.japanvisitor.com/japan-city-guides/ueno-tokyo,"1000,1300,1900,2100",Free,00:01,23:59,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,2,No,1
Tokyo Tower,"4 Chome-2-8 Shibakoen, Minato City",Tokyo,Kantō,Japan,35.6586,139.7454,TOK_TT_01.jpg,"This communication and observation tower allows tourists to enjoy epic views over Japan at either 150 or 250 metres above the ground. Standing at 333 metres, it is 13 metres taller than its model, the Eiffel Tower. Seeing Tokyo from above is one of the best things to do in Tokyo.",https://www.tokyotower.co.jp/price/index.html,"1700,1900,1910",$$,09:00,23:00,All,"Sun, Mon, Tues, Wed, Thurs, Fri, Sat",N/A,1,No,4
Tokyo Metropolitan Government Building,"2 Chome-8-1 Nishishinjuku, Shinjuku City",Tokyo,Kantō,Japan,35.6896,139.6921,TOK_TMGB_01.jpg,"Visiting one of observatories in Tokyo is an essential since the overlook view of the city is pretty impressive especially at night. The reason why Tokyo Metropolitan Government Building is recommended is that its observatories (there are two) on 45th floor, 202 m above the sea level are totally free to enter.
Moreover, the building is located in a short distance from the west gate of Shinjuku Station and the surrounding area is well known for skyscrapers. It’s a great spot to hang around at night along with a visit to Izakaya Alleys or Robot Restaurants which are also located in Shinjuku area.",http://www.metro.tokyo.jp/english/offices/observat.html,"1700,1900,1910",Free,09:30,23:00,All,"Mon, Tues, Wed, Thurs, Fri","Sun, Sat",1,No,2
